cores	flops
1	2.6053001216E10
2	4.3982180352000002E10
3	4.8654098432000001E10
4	5.2348596224000001E10
5	5.912418304E10
6	6.1075619840000002E10
7	6.4566132736000004E10
8	6.6306748416000003E10
9	6.9974810624000003E10
10	7.463124992E10
11	7.2686362624000003E10
12	7.3499869184E10
13	7.1486029823999999E10
14	7.4121191423999999E10
15	6.9973434367999996E10
16	7.5601723392000002E10
